iter	Passed	Remaining
0	2	1029
1	5	1010
2	7	1032
3	10	1023
4	12	1012
5	15	993
6	17	990
7	19	976
8	22	972
9	25	975
10	27	973
11	30	970
12	32	968
13	35	969
14	37	968
15	40	966
16	42	962
17	45	958
18	47	955
19	50	956
20	52	952
21	55	947
22	57	946
23	60	945
24	62	941
25	65	935
26	67	932
27	70	930
28	72	929
29	74	924
30	77	921
31	80	920
32	82	916
33	84	914
34	87	908
35	89	908
36	92	908
37	95	908
38	97	906
39	100	903
40	103	901
41	105	900
42	108	898
43	110	895
44	113	892
45	115	890
46	118	887
47	120	885
48	123	881
49	125	878
50	128	877
51	130	874
52	133	871
53	135	868
54	138	866
55	140	864
56	143	861
57	145	858
58	148	858
59	151	856
60	153	854
61	156	851
62	158	848
63	160	844
64	163	841
65	165	838
66	168	836
67	170	833
68	173	830
69	175	828
70	178	825
71	180	823
72	183	820
73	185	818
74	188	816
75	190	813
76	193	810
77	195	806
78	197	803
79	200	800
80	202	798
81	205	795
82	207	793
83	210	790
84	212	788
85	215	785
86	217	783
87	220	780
88	222	777
89	224	774
90	227	772
91	230	770
92	232	767
93	234	764
94	237	762
95	240	760
96	242	758
97	245	755
98	247	752
99	250	750
100	252	747
101	255	745
102	257	743
103	260	741
104	263	739
105	265	736
106	268	734
107	270	731
108	273	728
109	275	726
110	278	724
111	280	721
112	283	718
113	285	716
114	288	713
115	290	711
116	293	708
117	295	706
118	298	704
119	300	701
120	303	698
121	305	696
122	308	693
123	310	691
124	313	688
125	315	686
126	318	683
127	320	681
128	323	679
129	325	676
130	328	674
131	330	671
132	333	669
133	336	666
134	338	664
135	341	662
136	343	659
137	346	657
138	349	655
139	351	652
140	354	650
141	356	647
142	359	645
143	361	643
144	364	640
145	366	638
146	369	635
147	372	633
148	374	631
149	377	628
150	379	625
151	381	622
152	384	620
153	386	617
154	389	615
155	391	612
156	394	610
157	396	607
158	399	604
159	401	602
160	403	599
161	406	597
162	408	594
163	411	591
164	413	589
165	416	586
166	418	584
167	421	581
168	423	579
169	426	576
170	428	574
171	431	571
172	433	569
173	436	566
174	438	563
175	441	561
176	443	558
177	446	556
178	448	554
179	451	551
180	453	549
181	456	546
182	458	544
183	461	541
184	463	539
185	466	536
186	469	534
187	471	531
188	474	529
189	477	527
190	479	524
191	481	521
192	484	519
193	487	517
194	489	514
195	492	512
196	494	509
197	497	507
198	499	504
199	502	502
200	505	499
201	507	497
202	509	494
203	512	492
204	514	489
205	517	487
206	519	484
207	522	482
208	525	479
209	527	477
210	529	474
211	532	472
212	535	470
213	537	467
214	540	464
215	542	462
216	545	459
217	547	457
218	550	454
219	552	452
220	555	449
221	557	447
222	560	444
223	562	442
224	565	439
225	567	437
226	570	434
227	572	431
228	574	429
229	577	426
230	580	424
231	582	421
232	584	419
233	587	416
234	589	414
235	592	411
236	594	409
237	597	406
238	599	404
239	602	401
240	604	399
241	607	396
242	609	394
243	612	391
244	614	389
245	617	386
246	619	383
247	622	381
248	624	379
249	627	376
250	630	374
251	632	371
252	635	369
253	637	366
254	640	364
255	642	361
256	645	359
257	648	356
258	650	354
259	653	351
260	655	349
261	657	346
262	660	344
263	662	341
264	665	339
265	668	336
266	670	334
267	672	331
268	675	328
269	678	326
270	680	323
271	682	321
272	685	318
273	687	316
274	690	313
275	692	311
276	695	308
277	697	306
278	700	303
279	703	301
280	705	298
281	707	296
282	710	293
283	712	291
284	715	288
285	717	286
286	720	283
287	722	281
288	725	278
289	728	276
290	730	273
291	733	271
292	735	268
293	738	266
294	740	263
295	743	261
296	746	258
297	748	256
298	751	253
299	753	251
300	755	248
301	758	246
302	760	243
303	763	241
304	765	238
305	767	235
306	770	233
307	772	230
308	775	228
309	777	225
310	780	223
311	783	220
312	785	218
313	788	215
314	790	213
315	793	210
316	795	208
317	798	205
318	800	203
319	802	200
320	805	198
321	807	195
322	810	193
323	812	190
324	815	188
325	818	185
326	820	183
327	823	180
328	825	178
329	828	175
330	830	173
331	833	170
332	835	168
333	838	165
334	841	163
335	843	160
336	846	158
337	848	155
338	851	153
339	853	150
340	856	148
341	858	145
342	861	143
343	863	140
344	866	138
345	868	135
346	871	133
347	873	130
348	876	128
349	878	125
350	881	122
351	883	120
352	886	117
353	888	115
354	890	112
355	893	110
356	895	107
357	898	105
358	900	102
359	903	100
360	905	97
361	908	95
362	910	92
363	913	90
364	915	87
365	918	85
366	921	82
367	923	80
368	926	77
369	929	75
370	931	72
371	934	70
372	936	67
373	939	65
374	941	62
375	944	60
376	946	57
377	948	55
378	951	52
379	953	50
380	956	47
381	958	45
382	961	42
383	963	40
384	965	37
385	968	35
386	970	32
387	973	30
388	975	27
389	978	25
390	980	22
391	983	20
392	985	17
393	988	15
394	990	12
395	993	10
396	995	7
397	999	5
398	1001	2
399	1004	0
