iter	Passed	Remaining
0	2	1006
1	4	933
2	7	990
3	9	983
4	12	986
5	15	986
6	17	985
7	20	993
8	22	985
9	25	986
10	27	982
11	30	987
12	33	982
13	35	977
14	37	970
15	40	965
16	42	959
17	45	958
18	47	959
19	50	961
20	53	959
21	55	956
22	58	953
23	60	954
24	63	953
25	66	949
26	68	947
27	71	944
28	73	942
29	76	938
30	78	937
31	81	935
32	83	932
33	86	932
34	89	929
35	91	927
36	94	925
37	96	923
38	99	918
39	101	916
40	104	913
41	107	912
42	109	909
43	112	908
44	114	905
45	117	904
46	120	901
47	122	897
48	124	894
49	127	890
50	129	888
51	132	885
52	134	882
53	137	879
54	139	877
55	142	874
56	144	871
57	147	868
58	150	867
59	152	864
60	155	862
61	157	859
62	160	856
63	162	854
64	165	852
65	168	850
66	170	847
67	173	844
68	175	842
69	178	839
70	180	837
71	183	835
72	186	833
73	188	831
74	191	828
75	193	825
76	196	823
77	198	820
78	202	820
79	204	818
80	207	815
81	209	813
82	212	810
83	214	807
84	217	804
85	219	801
86	222	798
87	224	795
88	226	792
89	229	790
90	231	787
91	234	784
92	236	781
93	239	778
94	241	775
95	244	773
96	246	770
97	249	767
98	251	764
99	254	762
100	256	759
101	258	756
102	261	754
103	263	751
104	266	749
105	269	746
106	271	743
107	274	741
108	276	738
109	279	735
110	281	732
111	283	730
112	286	727
113	289	725
114	291	722
115	294	719
116	296	716
117	299	714
118	301	712
119	304	710
120	307	708
121	310	706
122	312	703
123	315	701
124	317	698
125	320	696
126	322	693
127	325	691
128	328	689
129	331	687
130	333	685
131	336	682
132	339	681
133	342	679
134	344	676
135	347	674
136	349	671
137	352	669
138	355	667
139	357	664
140	360	661
141	362	659
142	365	656
143	368	654
144	371	652
145	373	649
146	375	646
147	378	645
148	381	642
149	383	639
150	386	637
151	389	634
152	391	632
153	394	629
154	396	627
155	399	624
156	402	622
157	405	620
158	407	618
159	410	615
160	413	613
161	415	610
162	418	607
163	420	605
164	423	602
165	425	600
166	428	597
167	430	595
168	433	592
169	436	589
170	438	587
171	441	584
172	443	582
173	446	579
174	448	576
175	451	574
176	454	572
177	457	570
178	459	567
179	462	565
180	464	562
181	467	559
182	470	557
183	472	555
184	475	552
185	478	550
186	481	548
187	483	545
188	486	543
189	489	540
190	491	537
191	493	535
192	496	532
193	498	529
194	501	527
195	503	524
196	505	521
197	508	518
198	510	516
199	513	513
200	515	510
201	518	508
202	520	505
203	523	502
204	526	500
205	528	498
206	531	495
207	534	493
208	537	490
209	539	488
210	542	485
211	545	483
212	548	481
213	551	478
214	553	476
215	555	473
216	558	470
217	561	468
218	563	466
219	566	463
220	569	461
221	572	458
222	575	456
223	577	453
224	580	451
225	582	448
226	585	446
227	587	443
228	590	440
229	592	438
230	595	435
231	597	432
232	600	430
233	603	428
234	606	426
235	609	423
236	612	421
237	615	419
238	618	416
239	620	413
240	623	411
241	625	408
242	628	405
243	630	403
244	633	400
245	635	397
246	638	395
247	641	393
248	644	390
249	646	388
250	649	385
251	652	382
252	654	380
253	657	377
254	659	375
255	662	372
256	665	370
257	667	367
258	670	365
259	672	362
260	675	359
261	678	357
262	680	354
263	684	352
264	687	350
265	690	347
266	692	345
267	695	342
268	698	340
269	700	337
270	703	334
271	705	332
272	708	329
273	710	326
274	713	324
275	716	321
276	718	319
277	721	316
278	723	313
279	726	311
280	728	308
281	731	306
282	733	303
283	736	300
284	738	298
285	741	295
286	743	292
287	746	290
288	749	287
289	751	285
290	754	282
291	757	280
292	760	277
293	762	274
294	765	272
295	767	269
296	770	267
297	773	264
298	775	262
299	777	259
300	780	256
301	782	254
302	785	251
303	787	248
304	790	246
305	793	243
306	795	241
307	798	238
308	801	236
309	804	233
310	806	230
311	809	228
312	811	225
313	814	222
314	816	220
315	819	217
316	822	215
317	824	212
318	827	210
319	830	207
320	833	205
321	835	202
322	838	199
323	841	197
324	844	194
325	847	192
326	849	189
327	852	187
328	854	184
329	857	181
330	860	179
331	862	176
332	865	174
333	868	171
334	870	168
335	873	166
336	876	163
337	878	161
338	881	158
339	884	156
340	886	153
341	889	150
342	892	148
343	894	145
344	897	143
345	900	140
346	903	137
347	905	135
348	908	132
349	910	130
350	913	127
351	915	124
352	918	122
353	920	119
354	923	117
355	925	114
356	928	111
357	931	109
358	933	106
359	936	104
360	938	101
361	941	98
362	943	96
363	946	93
364	949	91
365	951	88
366	954	85
367	956	83
368	959	80
369	962	78
370	964	75
371	967	72
372	970	70
373	972	67
374	975	65
375	977	62
376	979	59
377	982	57
378	984	54
379	987	51
380	990	49
381	993	46
382	995	44
383	998	41
384	1000	38
385	1002	36
386	1005	33
387	1008	31
388	1010	28
389	1013	25
390	1016	23
391	1019	20
392	1021	18
393	1024	15
394	1026	12
395	1029	10
396	1032	7
397	1035	5
398	1037	2
399	1040	0
