iter	Passed	Remaining
0	2	962
1	4	914
2	7	946
3	9	955
4	12	957
5	14	948
6	16	951
7	19	956
8	22	956
9	24	957
10	27	959
11	29	951
12	31	951
13	34	952
14	36	949
15	39	943
16	41	943
17	44	940
18	46	941
19	49	940
20	51	937
21	54	936
22	57	934
23	59	935
24	62	933
25	64	928
26	67	928
27	69	927
28	72	926
29	75	927
30	77	925
31	80	927
32	83	926
33	85	924
34	88	921
35	91	921
36	93	919
37	96	918
38	99	917
39	101	914
40	104	910
41	106	909
42	109	907
43	111	903
44	114	900
45	116	896
46	119	898
47	122	895
48	124	892
49	127	890
50	129	888
51	132	886
52	134	881
53	137	878
54	139	876
55	142	873
56	144	870
57	146	866
58	150	868
59	152	865
60	155	864
61	157	861
62	160	859
63	163	856
64	165	855
65	168	852
66	171	850
67	173	847
68	176	844
69	178	841
70	180	838
71	183	835
72	186	834
73	188	831
74	191	829
75	193	826
76	196	824
77	199	822
78	201	819
79	204	817
80	206	814
81	209	811
82	211	809
83	214	807
84	217	805
85	219	802
86	222	799
87	224	796
88	227	793
89	229	790
90	231	787
91	234	784
92	237	782
93	239	779
94	241	776
95	244	773
96	246	771
97	249	768
98	251	765
99	254	763
100	256	760
101	259	758
102	262	756
103	264	753
104	267	750
105	270	748
106	272	746
107	275	743
108	277	741
109	280	738
110	282	736
111	285	733
112	287	731
113	290	729
114	293	726
115	295	724
116	298	721
117	300	718
118	303	716
119	305	713
120	308	711
121	310	708
122	313	705
123	315	703
124	318	700
125	320	697
126	323	695
127	326	692
128	328	690
129	331	687
130	333	685
131	336	682
132	338	680
133	341	677
134	343	675
135	346	672
136	348	669
137	351	667
138	353	664
139	356	661
140	358	659
141	361	656
142	364	654
143	366	652
144	369	649
145	371	646
146	374	644
147	377	641
148	379	639
149	382	636
150	384	634
151	387	631
152	389	628
153	392	626
154	394	623
155	396	620
156	399	618
157	401	615
158	404	612
159	406	610
160	409	608
161	412	605
162	414	603
163	417	600
164	419	597
165	421	594
166	424	592
167	427	590
168	430	587
169	432	585
170	435	582
171	437	580
172	440	577
173	442	575
174	445	572
175	447	569
176	449	566
177	452	564
178	455	561
179	457	559
180	460	556
181	462	554
182	465	551
183	467	549
184	470	546
185	472	543
186	475	541
187	477	539
188	480	536
189	483	534
190	485	531
191	487	528
192	490	525
193	492	523
194	495	520
195	497	517
196	499	515
197	502	512
198	504	509
199	507	507
200	509	504
201	512	502
202	515	499
203	517	497
204	520	494
205	522	492
206	525	489
207	527	487
208	530	484
209	532	481
210	535	479
211	537	476
212	540	474
213	543	471
214	545	469
215	548	466
216	550	464
217	553	461
218	555	459
219	558	456
220	561	454
221	563	451
222	566	449
223	568	446
224	571	444
225	573	441
226	576	439
227	578	436
228	581	433
229	583	431
230	586	428
231	588	426
232	591	423
233	593	421
234	596	418
235	598	416
236	601	413
237	603	411
238	606	408
239	608	405
240	611	403
241	614	400
242	616	398
243	618	395
244	621	393
245	623	390
246	626	388
247	629	385
248	631	382
249	634	380
250	636	377
251	638	375
252	641	372
253	643	370
254	646	367
255	649	365
256	651	362
257	654	360
258	656	357
259	659	354
260	661	352
261	664	350
262	667	347
263	669	345
264	672	342
265	675	340
266	677	337
267	680	335
268	682	332
269	685	329
270	687	327
271	690	324
272	692	322
273	695	319
274	698	317
275	700	314
276	703	312
277	705	309
278	708	307
279	711	304
280	713	302
281	716	299
282	718	297
283	721	294
284	723	291
285	726	289
286	728	286
287	731	284
288	733	281
289	736	279
290	738	276
291	740	274
292	743	271
293	745	268
294	748	266
295	750	263
296	753	261
297	756	258
298	758	256
299	761	253
300	763	251
301	766	248
302	768	246
303	771	243
304	773	241
305	776	238
306	778	235
307	781	233
308	783	230
309	786	228
310	788	225
311	791	223
312	793	220
313	796	218
314	798	215
315	801	212
316	803	210
317	806	207
318	809	205
319	811	202
320	813	200
321	816	197
322	818	195
323	821	192
324	823	190
325	826	187
326	828	184
327	831	182
328	833	179
329	836	177
330	838	174
331	841	172
332	843	169
333	846	167
334	848	164
335	851	162
336	854	159
337	856	157
338	859	154
339	861	152
340	864	149
341	866	146
342	869	144
343	871	141
344	874	139
345	876	136
346	879	134
347	882	131
348	884	129
349	886	126
350	889	124
351	892	121
352	894	119
353	897	116
354	899	114
355	902	111
356	905	109
357	907	106
358	910	103
359	912	101
360	915	98
361	917	96
362	920	93
363	922	91
364	925	88
365	928	86
366	930	83
367	933	81
368	935	78
369	938	76
370	940	73
371	943	70
372	945	68
373	948	65
374	950	63
375	953	60
376	955	58
377	958	55
378	961	53
379	964	50
380	966	48
381	969	45
382	971	43
383	973	40
384	976	38
385	978	35
386	981	32
387	983	30
388	986	27
389	988	25
390	991	22
391	993	20
392	996	17
393	998	15
394	1001	12
395	1003	10
396	1005	7
397	1008	5
398	1010	2
399	1013	0
